Date;Time;Code;Object;Area;Status;Comment;CO2abs;CO2buf;dCO2ZP;dCO2MP;H2Oabs;H2Obuf;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);F(I)/Fo-set;ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;;
2021-08-04;10:00:10;ZPi010;0000;8;AFF1FF432FF---4FF-------------;;404.5422;404.5633;-0.3147654;;21004.66;21002.87;121.1738;;799.74;98.828;571;416;24.36;24.97;24.93;24.45;799.1;1.9;0.3;6;;;;;;;404.23;21125.8;;;;767;;;;;;;;;;;;
2021-08-04;10:03:38;MP_010;0001;8;AFF1FF432FF---4FF-------------;;399.9915;399.9964;-0.3147654;-9.500873;21003.74;21001.95;121.1738;1706.587;799.75;98.826;575;418;24.33;24.97;25.01;24.42;799.5;2.1;0.2;6;73.37;1.621537;9.659214;167.8746;8.549509;306.0933;390.79;22587.4;0;0;0.0000;740;887;;;0.1657;55.65;0.1657;0.0000;;-1.0000;;0.00;0.840
2021-08-04;10:06:57;ZPi010;0000;8;AFF1FF432FF---4FF-------------;;297.8877;297.8824;-0.2897437;;21007.57;21010.03;116.7765;;799.74;98.817;577;420;24.30;24.98;25.07;24.37;799.4;2.1;0.4;6;;;;;;;297.91;21003.2;;;;705;;;;;;;;;;;;
2021-08-04;10:11:06;MP_010;0001;8;AFF1FF432FF---4FF-------------;;299.5721;299.5529;-0.2897437;-7.157627;21002.07;21001.07;116.7765;1634.206;799.79;98.822;581;423;24.30;24.98;25.14;24.38;799.6;2.3;0.6;6;73.26;1.551986;9.749275;159.1899;6.411838;225.9251;292.70;22518.5;0;0;0.0000;688;810;;;0.1506;50.58;0.1506;0.0000;;-1.0000;;0.00;0.840
2021-08-04;10:17:03;MP_010;0001;8;AFF1FF432FF---4FF-------------;;248.5596;248.5061;-0.2897437;-5.91526;21015.87;21018.42;116.7765;1701.273;799.74;98.821;585;426;24.33;24.97;25.12;24.38;799.6;2.0;0.2;6;73.42;1.620614;9.644987;168.0265;5.230011;191.1005;242.92;22602.9;0;0;0.0000;672;781;;;0.1396;46.87;0.1396;0.0000;;-1.0000;;0.00;0.840
2021-08-04;10:23:53;ZPi010;0000;8;AFF1FF432FF---4FF-------------;;198.2545;198.2544;-0.1061421;;21000.43;21001.92;110.3853;;799.80;98.831;590;430;24.39;24.96;25.09;24.40;799.3;2.0;0.4;6;;;;;;;198.44;20994.0;;;;658;;;;;;;;;;;;
2021-08-04;10:27:17;MP_010;0001;8;AFF1FF432FF---4FF-------------;;199.5426;199.5509;-0.1061421;-4.622283;21017.96;21017.63;110.3853;1923.649;799.75;98.832;592;432;24.44;24.99;25.23;24.45;799.6;1.8;0.2;6;73.65;1.855041;9.454094;196.2156;4.152946;159.3849;195.02;22830.9;0;0;0.0000;652;757;;;0.1387;46.58;0.1387;0.0000;;-1.0000;;0.00;0.840
2021-08-04;10:30:34;MP_010;0001;8;AFF1FF432FF---4FF-------------;;149.143;149.1363;-0.1061421;-3.031014;21017.97;21019.34;110.3853;2010.471;799.83;98.828;594;433;24.47;24.98;25.27;24.46;799.5;1.9;0.4;6;73.84;1.944236;9.340216;208.1575;2.639949;124.4659;146.22;22919.4;0;0;0.0000;652;744;;;0.1237;41.52;0.1237;0.0000;;-1.0000;;0.00;0.840
2021-08-04;10:34:36;ZPi010;0000;8;AFF1FF432FF---4FF-------------;;98.51259;98.4843;-0.1122402;;21001.86;21001.67;112.9652;;799.80;98.820;597;435;24.49;24.96;25.22;24.48;799.5;2.1;0.4;6;;;;;;;98.51;21004.4;;;;649;;;;;;;;;;;;
2021-08-04;10:36:27;MP_010;0001;8;AFF1FF432FF---4FF-------------;;98.8707;98.9114;-0.1122402;-1.606809;21011.12;21014.88;112.9652;2168.541;799.73;98.821;598;436;24.52;24.97;25.35;24.50;799.0;2.3;0.4;6;74.09;2.103396;9.182714;229.0604;1.289253;87.26458;97.37;23070.5;0;0;0.0000;647;728;;;0.1113;37.34;0.1113;0.0000;;-1.0000;;0.00;0.840
2021-08-04;10:40:35;MP_010;0001;8;AFF1FF432FF---4FF-------------;;50.27217;50.21804;-0.1122402;-0.0492522;20996.72;20998.88;112.9652;2278.331;799.84;98.827;600;437;24.55;24.97;25.45;24.53;799.3;2.0;0.1;6;74.27;2.216278;9.072766;244.2781;-0.1745145;50.72651;50.33;23164.2;0;0;0.0000;651;716;;;0.0908;30.48;0.0908;0.0000;;-1.0000;;0.00;0.840
2021-08-04;10:47:12;ZPi010;0000;8;AFF1FF432FF---4FF-------------;;400.2755;400.2869;-0.5270605;;20991.77;20989.34;132.0433;;799.74;98.812;603;439;24.64;24.98;25.61;24.67;799.4;2.1;0.3;6;;;;;;;399.86;21010.9;;;;644;;;;;;;;;;;;
2021-08-04;10:49:14;MP_010;0001;8;AFF1FF432FF---4FF-------------;;400.5367;400.5063;-0.5270605;-10.25993;20997.3;20995.87;132.0433;2517.546;799.70;98.814;604;440;24.65;24.98;25.67;24.69;799.3;2.0;0.2;6;74.51;2.441689;8.881815;274.9088;8.775024;335.9485;390.78;23381.4;0;0;0.0000;643;772;;;0.1671;56.10;0.1671;0.0000;;-1.0000;;0.00;0.840
