TIMESTAMP, DateTime, Comment, CO2r, CO2a, CO2d, H2Or, H2Oa, H2Od, PARi, PARe, Red, Green, Blue, White, FarRed, Tamb, Tcuv, Tleaf, Aleaf, Flow, Patm, Pcuv, RH, Ci, gs, VPD, A, E, WUE, rb, StomataR, ZDiff, Ccontrol, Hcontrol, Tsensor, Tcontrol, Lcontrol, Accessory, Status
1708671182,  02/23/2024 07:53:02, , 1399.672401, 1383.531971, -16.140430, 15.032638, 26.520593, 11.487954, 60, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.957044, 25.145049, 24.710005, 4.000000, 298.954790, 1010.374905, 0.050522, 83.550839, 1374.481607, 3666.612008, 0.445408, -0.103658, 6.558293, -0.015805, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671202,  02/23/2024 07:53:22, , 1399.573263, 1383.763293, -15.809970, 15.100759, 26.613129, 11.512370, 60, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 28.008100, 25.492622, 24.676668, 4.000000, 299.773961, 1010.026963, 0.048980, 82.098526, 1375.233651, 4032.974629, 0.430769, -0.309825, 6.590867, -0.047008, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671222,  02/23/2024 07:53:42, , 1400.483243, 1384.613566, -15.869677, 15.104676, 26.573243, 11.468567, 60, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 28.006806, 26.702693, 24.710014, 4.000000, 300.296898, 1009.931929, 0.051144, 76.307895, 1375.788084, 3773.808056, 0.441265, -0.247493, 6.576973, -0.037630, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671242,  02/23/2024 07:54:02, , 1399.739205, 1383.837902, -15.901302, 15.206540, 26.712953, 11.506412, 60, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 28.118212, 29.262300, 24.736666, 4.000000, 299.792449, 1010.046864, 0.050316, 66.081843, 1375.231316, 4003.018462, 0.431830, -0.255651, 6.588538, -0.038802, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671282,  02/23/2024 07:54:42, , 1400.088565, 1375.578914, -24.509650, 14.744525, 25.285929, 10.541404, 120, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.997037, 27.702372, 24.929995, 4.000000, 300.681925, 1010.352828, 0.049233, 68.505173, 1354.422763, 1659.907328, 0.611535, 5.384381, 6.045022, 0.890713, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671302,  02/23/2024 07:55:02, , 1400.870963, 1375.256434, -25.614529, 15.001320, 25.520433, 10.519112, 120, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 28.052944, 26.698117, 24.929995, 4.000000, 299.253713, 1010.048510, 0.050236, 73.312773, 1353.962288, 1750.067123, 0.588615, 5.990900, 6.005031, 0.997646, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671322,  02/23/2024 07:55:22, , 1400.194843, 1375.291891, -24.902952, 14.961520, 25.456136, 10.494616, 120, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.934350, 28.289539, 24.970003, 4.000000, 300.326903, 1010.098023, 0.050476, 66.628746, 1354.023242, 1685.205258, 0.602547, 5.634748, 6.012136, 0.937229, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671342,  02/23/2024 07:55:42, , 1400.051214, 1375.162512, -24.888702, 14.966707, 25.488848, 10.522140, 120, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 28.073250, 27.459766, 24.990004, 4.000000, 299.106681, 1010.224542, 0.049778, 70.032749, 1353.956550, 1680.660318, 0.602710, 5.582833, 6.003614, 0.929912, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671382,  02/23/2024 07:56:22, , 1399.677777, 1335.420976, -64.256800, 14.752928, 24.757864, 10.004936, 500, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.952397, 26.988393, 25.676659, 4.000000, 300.010096, 1010.407799, 0.048939, 69.943263, 1256.885485, 992.905878, 0.808560, 28.195836, 5.721463, 4.928081, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
1708671402,  02/23/2024 07:56:42, , 1400.003741, 1335.878389, -64.125351, 15.148089, 25.180026, 10.031937, 500, 5, 80.000000, 10.000000, 10.000000, 0.000000, 0.000000, 27.973279, 26.805894, 25.676668, 4.000000, 300.537082, 1009.777867, 0.048714, 71.858240, 1261.812776, 1076.185916, 0.767490, 28.145315, 5.749470, 4.895288, 0.400000, 0.500000, AZ, ER, F%, IR, CT, LED, 2.000000, MS
